id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country
786,Finn E.,Kydland,12/1/1943,0000-00-00,Norway,NO,Gjesdal,,,,male,2004,economics,,2,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",University of California,"Santa Barbara, CA",USA
787,Edward C.,Prescott,12/26/1940,0000-00-00,USA,US,"Glens Falls, NY",,,,male,2004,economics,,2,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",Arizona State University,"Tempe, AZ",USA
792,John L.,Hall,8/21/1934,0000-00-00,USA,US,"Denver, CO",,,,male,2005,physics,,4,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""","University of Colorado, JILA","Boulder, CO",USA
792,John L.,Hall,8/21/1934,0000-00-00,USA,US,"Denver, CO",,,,male,2005,physics,,4,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",National Institute of Standards and Technology,"Boulder, CO",USA
687,Tjalling C.,Koopmans,8/28/1910,2/26/1985,the Netherlands,NL,'s Graveland,USA,US,"New Haven, CT",male,1975,economics,,2,"""for their contributions to the theory of optimum allocation of resources""",Yale University,"New Haven, CT",USA
113,Sheldon Lee,Glashow,12/5/1932,0000-00-00,USA,US,"New York, NY",,,,male,1979,physics,,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""","Harvard University, Lyman Laboratory","Cambridge, MA",USA
115,Steven,Weinberg,5/3/1933,0000-00-00,USA,US,"New York, NY",,,,male,1979,physics,,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current""",Harvard University,"Cambridge, MA",USA
267,Donald J.,Cram,4/22/1919,6/17/2001,USA,US,"Chester, VT",USA,US,"Palm Desert, CA",male,1987,chemistry,,3,"""for their development and use of molecules with structure-specific interactions of high selectivity""",University of California,"Los Angeles, CA",USA
269,Charles J.,Pedersen,10/3/1904,10/26/1989,Korea (now South Korea),KR,Pusan,USA,US,"Salem, NJ",male,1987,chemistry,,3,"""for their development and use of molecules with structure-specific interactions of high selectivity""",Du Pont,"Wilmington, DE",USA
59,Edward Mills,Purcell,8/30/1912,3/7/1997,USA,US,"Taylorville, IL",USA,US,"Cambridge, MA",male,1952,physics,,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",Harvard University,"Cambridge, MA",USA
58,Felix,Bloch,10/23/1905,9/10/1983,Switzerland,CH,Zurich,Switzerland,CH,Zurich,male,1952,physics,,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",Stanford University,"Stanford, CA",USA
756,John B.,Fenn,6/15/1917,12/10/2010,USA,US,"New York, NY",USA,US,"Richmond, VA",male,2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",4,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",Virginia Commonwealth University,"Richmond, VA",USA
252,Herbert C.,Brown,5/22/1912,12/19/2004,United Kingdom,GB,London,USA,US,"Lafayette, IN",male,1979,chemistry,,2,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",Purdue University,"West Lafayette, IN",USA
916,William C.,Campbell,6/28/1930,0000-00-00,Ireland,IE,Ramelton,,,,male,2015,medicine,,4,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",Drew University,"Madison, NJ",USA
750,Sydney,Brenner,1/13/1927,0000-00-00,South Africa,ZA,Germiston,,,,male,2002,medicine,,3,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",The Molecular Sciences Institute,"Berkeley, CA",USA
751,H. Robert,Horvitz,5/8/1947,0000-00-00,USA,US,"Chicago, IL",,,,male,2002,medicine,,3,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA
421,George D.,Snell,12/19/1903,6/6/1996,USA,US,"Bradford, MA",USA,US,"Bar Harbor, ME",male,1980,medicine,,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",Jackson Laboratory,"Bar Harbor, ME",USA
419,Baruj,Benacerraf,10/29/1920,8/2/2011,Venezuela,VE,Caracas,USA,US,"Boston, MA",male,1980,medicine,,3,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",Harvard Medical School,"Boston, MA",USA
360,Andr_ Fr_d_ric,Cournand,09/24/1895,2/19/1988,France,FR,Paris,USA,US,"Great Barrington, MA",male,1956,medicine,,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""","Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",USA
362,Dickinson W.,Richards,10/30/1895,2/23/1973,USA,US,"Orange, NJ",USA,US,"Lakeville, CT",male,1956,medicine,,3,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",Columbia University,"New York, NY",USA
424,Torsten N.,Wiesel,6/3/1924,0000-00-00,Sweden,SE,Uppsala,,,,male,1981,medicine,,4,"""for their discoveries concerning information processing in the visual system""",Harvard Medical School,"Boston, MA",USA
423,David H.,Hubel,2/27/1926,9/22/2013,Canada,CA,"Windsor, ON",USA,US,"Lincoln, MA",male,1981,medicine,,4,"""for their discoveries concerning information processing in the visual system""",Harvard Medical School,"Boston, MA",USA
328,William Parry,Murphy,02/06/1892,10/9/1987,USA,US,"Stoughton, WI",USA,US,"Brookline, MA",male,1934,medicine,,3,"""for their discoveries concerning liver therapy in cases of anaemia""",Peter Brent Brigham Hospital,"Boston, MA",USA
327,George Richards,Minot,12/02/1885,2/25/1950,USA,US,"Boston, MA",USA,US,"Brookline, MA",male,1934,medicine,,3,"""for their discoveries concerning liver therapy in cases of anaemia""",Harvard University,"Cambridge, MA",USA
328,William Parry,Murphy,02/06/1892,10/9/1987,USA,US,"Stoughton, WI",USA,US,"Brookline, MA",male,1934,medicine,,3,"""for their discoveries concerning liver therapy in cases of anaemia""",Harvard University,"Cambridge, MA",USA
